DATE,BAMLC0A0CM
2018-07-24,1.20
2018-07-25,1.19
2018-07-26,1.17
2018-07-27,1.16
2018-07-30,1.16
2018-07-31,1.16
2018-08-01,1.16
2018-08-02,1.16
2018-08-03,1.15
2018-08-06,1.15
2018-08-07,1.14
2018-08-08,1.15
2018-08-09,1.16
2018-08-10,1.18
2018-08-13,1.19
2018-08-14,1.19
2018-08-15,1.20
2018-08-16,1.19
2018-08-17,1.18
2018-08-20,1.19
2018-08-21,1.18
2018-08-22,1.19
2018-08-23,1.19
2018-08-24,1.19
2018-08-27,1.19
2018-08-28,1.18
2018-08-29,1.18
2018-08-30,1.19
2018-08-31,1.21
2018-09-03,1.21
2018-09-04,1.21
2018-09-05,1.21
2018-09-06,1.21
2018-09-07,1.20
2018-09-10,1.20
2018-09-11,1.19
2018-09-12,1.18
2018-09-13,1.17
2018-09-14,1.16
2018-09-17,1.15
2018-09-18,1.15
2018-09-19,1.14
2018-09-20,1.13
2018-09-21,1.13
2018-09-24,1.13
2018-09-25,1.12
2018-09-26,1.12
2018-09-27,1.12
2018-09-28,1.11
2018-09-30,1.13
2018-10-01,1.13
2018-10-02,1.13
2018-10-03,1.11
2018-10-04,1.12
2018-10-05,1.13
2018-10-08,1.13
2018-10-09,1.13
2018-10-10,1.13
2018-10-11,1.16
2018-10-12,1.16
2018-10-15,1.15
2018-10-16,1.16
2018-10-17,1.16
2018-10-18,1.17
2018-10-19,1.17
2018-10-22,1.18
2018-10-23,1.20
2018-10-24,1.19
2018-10-25,1.22
2018-10-26,1.23
2018-10-29,1.23
2018-10-30,1.25
2018-10-31,1.25
2018-11-01,1.26
2018-11-02,1.24
2018-11-05,1.25
2018-11-06,1.23
2018-11-07,1.22
2018-11-08,1.22
2018-11-09,1.23
2018-11-12,1.23
2018-11-13,1.26
2018-11-14,1.29
2018-11-15,1.33
2018-11-16,1.34
2018-11-19,1.36
2018-11-20,1.39
2018-11-21,1.38
2018-11-22,1.38
2018-11-23,1.38
2018-11-26,1.38
2018-11-27,1.40
2018-11-28,1.41
2018-11-29,1.42
2018-11-30,1.45
2018-12-03,1.44
2018-12-04,1.46
2018-12-05,1.46
2018-12-06,1.51
2018-12-07,1.51
2018-12-10,1.52
2018-12-11,1.51
2018-12-12,1.50
2018-12-13,1.48
2018-12-14,1.48
2018-12-17,1.48
2018-12-18,1.49
2018-12-19,1.49
2018-12-20,1.52
2018-12-21,1.54
2018-12-24,1.55
2018-12-25,.
2018-12-26,1.56
2018-12-27,1.57
2018-12-28,1.58
2018-12-31,1.59
2019-01-01,.
2019-01-02,1.60
2019-01-03,1.63
2019-01-04,1.62
2019-01-07,1.60
2019-01-08,1.58
2019-01-09,1.56
2019-01-10,1.55
2019-01-11,1.54
2019-01-14,1.54
2019-01-15,1.54
2019-01-16,1.52
2019-01-17,1.50
2019-01-18,1.46
2019-01-21,1.46
2019-01-22,1.46
2019-01-23,1.44
2019-01-24,1.43
2019-01-25,1.40
2019-01-28,1.40
2019-01-29,1.39
2019-01-30,1.39
2019-01-31,1.38
2019-02-01,1.36
2019-02-04,1.34
2019-02-05,1.33
2019-02-06,1.32
2019-02-07,1.34
2019-02-08,1.34
2019-02-11,1.34
2019-02-12,1.33
2019-02-13,1.32
2019-02-14,1.33
2019-02-15,1.32
2019-02-18,1.32
2019-02-19,1.32
2019-02-20,1.32
2019-02-21,1.32
2019-02-22,1.32
2019-02-25,1.31
2019-02-26,1.31
2019-02-27,1.30
2019-02-28,1.29
2019-03-01,1.28
2019-03-04,1.27
2019-03-05,1.27
2019-03-06,1.28
2019-03-07,1.29
2019-03-08,1.29
2019-03-11,1.29
2019-03-12,1.28
2019-03-13,1.28
2019-03-14,1.27
2019-03-15,1.26
2019-03-18,1.26
2019-03-19,1.25
2019-03-20,1.26
2019-03-21,1.25
2019-03-22,1.25
2019-03-25,1.25
2019-03-26,1.25
2019-03-27,1.25
2019-03-28,1.25
2019-03-29,1.25
2019-03-31,1.27
2019-04-01,1.25
2019-04-02,1.25
2019-04-03,1.24
2019-04-04,1.24
2019-04-05,1.23
2019-04-08,1.22
2019-04-09,1.22
2019-04-10,1.21
2019-04-11,1.20
2019-04-12,1.18
2019-04-15,1.17
2019-04-16,1.16
2019-04-17,1.16
2019-04-18,1.17
2019-04-19,.
2019-04-22,1.17
2019-04-23,1.17
2019-04-24,1.17
2019-04-25,1.17
2019-04-26,1.17
2019-04-29,1.16
2019-04-30,1.17
2019-05-01,1.17
2019-05-02,1.18
2019-05-03,1.18
2019-05-06,1.18
2019-05-07,1.19
2019-05-08,1.20
2019-05-09,1.22
2019-05-10,1.22
2019-05-13,1.24
2019-05-14,1.24
2019-05-15,1.24
2019-05-16,1.24
2019-05-17,1.24
2019-05-20,1.24
2019-05-21,1.24
2019-05-22,1.25
2019-05-23,1.28
2019-05-24,1.27
2019-05-27,1.27
2019-05-28,1.29
2019-05-29,1.32
2019-05-30,1.31
2019-05-31,1.35
2019-06-03,1.36
2019-06-04,1.35
2019-06-05,1.34
2019-06-06,1.34
2019-06-07,1.34
2019-06-10,1.32
2019-06-11,1.32
2019-06-12,1.32
2019-06-13,1.32
2019-06-14,1.32
2019-06-17,1.32
2019-06-18,1.30
2019-06-19,1.30
2019-06-20,1.28
2019-06-21,1.25
2019-06-24,1.23
2019-06-25,1.24
2019-06-26,1.23
2019-06-27,1.23
2019-06-28,1.22
2019-06-30,1.22
2019-07-01,1.21
2019-07-02,1.20
2019-07-03,1.20
2019-07-04,1.20
2019-07-05,1.19
2019-07-08,1.19
2019-07-09,1.20
2019-07-10,1.20
2019-07-11,1.19
2019-07-12,1.18
2019-07-15,1.18
2019-07-16,1.18
2019-07-17,1.18
2019-07-18,1.19
2019-07-19,1.18
2019-07-22,1.17
2019-07-23,1.16
2019-07-24,1.16
2019-07-25,1.15
2019-07-26,1.14
2019-07-29,1.13
2019-07-30,1.14
2019-07-31,1.14
2019-08-01,1.17
2019-08-02,1.19
2019-08-05,1.24
2019-08-06,1.25
2019-08-07,1.27
2019-08-08,1.26
2019-08-09,1.26
2019-08-12,1.27
2019-08-13,1.26
2019-08-14,1.29
2019-08-15,1.31
2019-08-16,1.31
2019-08-19,1.29
2019-08-20,1.28
2019-08-21,1.26
2019-08-22,1.25
2019-08-23,1.25
2019-08-26,1.25
2019-08-27,1.25
2019-08-28,1.26
2019-08-29,1.26
2019-08-30,1.25
2019-08-31,1.26
2019-09-02,1.26
2019-09-03,1.27
2019-09-04,1.27
2019-09-05,1.26
2019-09-06,1.26
2019-09-09,1.25
2019-09-10,1.25
2019-09-11,1.24
2019-09-12,1.22
2019-09-13,1.21
2019-09-16,1.21
2019-09-17,1.21
2019-09-18,1.20
2019-09-19,1.19
2019-09-20,1.19
2019-09-23,1.19
2019-09-24,1.20
2019-09-25,1.20
2019-09-26,1.20
2019-09-27,1.21
2019-09-30,1.22
2019-10-01,1.22
2019-10-02,1.25
2019-10-03,1.26
2019-10-04,1.26
2019-10-07,1.25
2019-10-08,1.26
2019-10-09,1.25
2019-10-10,1.25
2019-10-11,1.22
2019-10-14,1.22
2019-10-15,1.20
2019-10-16,1.20
2019-10-17,1.19
2019-10-18,1.18
2019-10-21,1.17
2019-10-22,1.16
2019-10-23,1.17
2019-10-24,1.16
2019-10-25,1.14
2019-10-28,1.13
2019-10-29,1.13
2019-10-30,1.14
2019-10-31,1.17
2019-11-01,1.16
2019-11-04,1.15
2019-11-05,1.13
2019-11-06,1.13
2019-11-07,1.11
2019-11-08,1.11
2019-11-11,1.11
2019-11-12,1.11
2019-11-13,1.12
2019-11-14,1.13
2019-11-15,1.12
2019-11-18,1.12
2019-11-19,1.12
2019-11-20,1.13
2019-11-21,1.14
2019-11-22,1.13
2019-11-25,1.12
2019-11-26,1.12
2019-11-27,1.11
2019-11-28,.
2019-11-29,1.11
2019-11-30,1.11
2019-12-02,1.11
2019-12-03,1.13
2019-12-04,1.11
2019-12-05,1.10
2019-12-06,1.09
2019-12-09,1.08
2019-12-10,1.07
2019-12-11,1.07
2019-12-12,1.06
2019-12-13,1.05
2019-12-16,1.04
2019-12-17,1.03
2019-12-18,1.02
2019-12-19,1.01
2019-12-20,1.01
2019-12-23,1.01
2019-12-24,1.00
2019-12-25,.
2019-12-26,1.00
2019-12-27,1.00
2019-12-30,1.00
2019-12-31,1.01
2020-01-01,.
2020-01-02,1.01
2020-01-03,1.03
2020-01-06,1.03
2020-01-07,1.04
2020-01-08,1.03
2020-01-09,1.02
2020-01-10,1.01
2020-01-13,1.01
2020-01-14,1.02
2020-01-15,1.02
2020-01-16,1.01
2020-01-17,0.99
2020-01-20,0.99
2020-01-21,0.99
2020-01-22,0.99
2020-01-23,1.00
2020-01-24,1.01
2020-01-27,1.04
2020-01-28,1.04
2020-01-29,1.04
2020-01-30,1.06
2020-01-31,1.09
2020-02-03,1.08
2020-02-04,1.06
2020-02-05,1.05
2020-02-06,1.03
2020-02-07,1.04
2020-02-10,1.04
2020-02-11,1.04
2020-02-12,1.02
2020-02-13,1.02
2020-02-14,1.02
2020-02-17,1.02
2020-02-18,1.02
2020-02-19,1.02
2020-02-20,1.04
2020-02-21,1.05
2020-02-24,1.10
2020-02-25,1.13
2020-02-26,1.15
2020-02-27,1.21
2020-02-28,1.31
2020-02-29,1.30
2020-03-02,1.33
2020-03-03,1.32
2020-03-04,1.32
2020-03-05,1.35
2020-03-06,1.49
2020-03-09,1.88
2020-03-10,1.87
2020-03-11,1.96
2020-03-12,2.22
2020-03-13,2.29
2020-03-16,2.55
2020-03-17,2.72
2020-03-18,3.03
2020-03-19,3.51
2020-03-20,3.87
2020-03-23,4.01
2020-03-24,3.82
2020-03-25,3.54
2020-03-26,3.33
2020-03-27,3.24
2020-03-30,3.15
2020-03-31,3.05
2020-04-01,3.05
2020-04-02,3.06
2020-04-03,3.08
2020-04-06,3.03
2020-04-07,2.92
2020-04-08,2.83
2020-04-09,2.61
2020-04-10,.
2020-04-13,2.46
2020-04-14,2.35
2020-04-15,2.38
2020-04-16,2.36
2020-04-17,2.34
2020-04-20,2.36
2020-04-21,2.41
2020-04-22,2.39
2020-04-23,2.36
2020-04-24,2.36
2020-04-27,2.34
2020-04-28,2.34
2020-04-29,2.31
2020-04-30,2.17
2020-05-01,2.18
2020-05-04,2.20
2020-05-05,2.18
2020-05-06,2.18
2020-05-07,2.21
2020-05-08,2.22
2020-05-11,2.23
2020-05-12,2.22
2020-05-13,2.21
2020-05-14,2.21
2020-05-15,2.20
2020-05-18,2.12
2020-05-19,2.06
2020-05-20,2.01
2020-05-21,1.98
2020-05-22,1.97
2020-05-25,1.96
2020-05-26,1.92
2020-05-27,1.90
2020-05-28,1.87
2020-05-29,1.85
2020-05-31,1.87
2020-06-01,1.85
2020-06-02,1.81
2020-06-03,1.74
2020-06-04,1.70
2020-06-05,1.60
2020-06-08,1.56
2020-06-09,1.59
2020-06-10,1.61
2020-06-11,1.70
2020-06-12,1.69
2020-06-15,1.70
2020-06-16,1.58
2020-06-17,1.57
2020-06-18,1.58
2020-06-19,1.57
2020-06-22,1.57
2020-06-23,1.56
2020-06-24,1.60
2020-06-25,1.61
2020-06-26,1.62
2020-06-29,1.62
2020-06-30,1.60
2020-07-01,1.58
2020-07-02,1.54
2020-07-03,1.54
2020-07-06,1.51
2020-07-07,1.51
2020-07-08,1.51
2020-07-09,1.52
2020-07-10,1.52
2020-07-13,1.50
2020-07-14,1.50
2020-07-15,1.48
2020-07-16,1.47
2020-07-17,1.46
2020-07-20,1.44
2020-07-21,1.41
2020-07-22,1.39
2020-07-23,1.39
2020-07-24,1.39
2020-07-27,1.39
2020-07-28,1.40
2020-07-29,1.40
2020-07-30,1.41
2020-07-31,1.41
2020-08-03,1.40
2020-08-04,1.40
2020-08-05,1.37
2020-08-06,1.36
2020-08-07,1.35
2020-08-10,1.34
2020-08-11,1.33
2020-08-12,1.33
2020-08-13,1.34
2020-08-14,1.35
2020-08-17,1.36
2020-08-18,1.37
2020-08-19,1.37
2020-08-20,1.38
2020-08-21,1.38
2020-08-24,1.37
2020-08-25,1.37
2020-08-26,1.37
2020-08-27,1.38
2020-08-28,1.37
2020-08-31,1.36
2020-09-01,1.35
2020-09-02,1.34
2020-09-03,1.35
2020-09-04,1.35
2020-09-07,1.35
2020-09-08,1.37
2020-09-09,1.37
2020-09-10,1.37
2020-09-11,1.37
2020-09-14,1.36
2020-09-15,1.36
2020-09-16,1.35
2020-09-17,1.35
2020-09-18,1.35
2020-09-21,1.37
2020-09-22,1.37
2020-09-23,1.39
2020-09-24,1.43
2020-09-25,1.46
2020-09-28,1.45
2020-09-29,1.44
2020-09-30,1.44
2020-10-01,1.43
2020-10-02,1.43
2020-10-05,1.40
2020-10-06,1.38
2020-10-07,1.36
2020-10-08,1.36
2020-10-09,1.35
2020-10-12,1.34
2020-10-13,1.33
2020-10-14,1.33
2020-10-15,1.34
2020-10-16,1.33
2020-10-19,1.32
2020-10-20,1.32
2020-10-21,1.31
2020-10-22,1.31
2020-10-23,1.30
2020-10-26,1.30
2020-10-27,1.30
2020-10-28,1.32
2020-10-29,1.33
2020-10-30,1.33
