DATE,BAMLC0A0CM
2022-12-20,1.41
2022-12-21,1.40
2022-12-22,1.39
2022-12-23,1.38
2022-12-26,.
2022-12-27,1.38
2022-12-28,1.40
2022-12-29,1.38
2022-12-30,1.38
2022-12-31,1.38
2023-01-02,.
2023-01-03,1.40
2023-01-04,1.40
2023-01-05,1.40
2023-01-06,1.40
2023-01-09,1.37
2023-01-10,1.35
2023-01-11,1.34
2023-01-12,1.33
2023-01-13,1.32
2023-01-16,1.32
2023-01-17,1.30
2023-01-18,1.29
2023-01-19,1.30
2023-01-20,1.29
2023-01-23,1.28
2023-01-24,1.29
2023-01-25,1.28
2023-01-26,1.26
2023-01-27,1.25
2023-01-30,1.25
2023-01-31,1.25
2023-02-01,1.25
2023-02-02,1.21
2023-02-03,1.20
2023-02-06,1.20
2023-02-07,1.20
2023-02-08,1.20
2023-02-09,1.20
2023-02-10,1.23
2023-02-13,1.24
2023-02-14,1.23
2023-02-15,1.23
2023-02-16,1.23
2023-02-17,1.26
2023-02-20,1.26
2023-02-21,1.28
2023-02-22,1.28
2023-02-23,1.28
2023-02-24,1.28
2023-02-27,1.28
2023-02-28,1.30
2023-03-01,1.29
